Ticker,SICCD,DlyCalDt,DlyCap,DlyRet,DlyClose,sprtrn
JNJ,2834,2014-12-16,287636543.60,-0.011543,102.7600,-0.008489
JNJ,2834,2014-12-17,291303377.70,0.012748,104.0700,0.020352
JNJ,2834,2014-12-18,298972939.10,0.026328,106.8100,0.024015
JNJ,2834,2014-12-19,295446060.50,-0.011797,105.5500,0.004570
JNJ,2834,2014-12-22,298777001.40,0.011274,106.7400,0.003810
JNJ,2834,2014-12-23,291891190.80,-0.023047,104.2800,0.001746
JNJ,2834,2014-12-24,292758914.90,0.002973,104.5900,-0.000139
JNJ,2834,2014-12-26,294074496.60,0.004494,105.0600,0.003310
JNJ,2834,2014-12-29,294830256.30,0.002570,105.3300,0.000862
JNJ,2834,2014-12-30,294914229.60,0.000285,105.3600,-0.004889
JNJ,2834,2014-12-31,292702932.70,-0.007498,104.5700,-0.010311
JNJ,2834,2015-01-02,292562977.20,-0.000478,104.5200,-0.000340
JNJ,2834,2015-01-05,290519626.90,-0.006984,103.7900,-0.018278
JNJ,2834,2015-01-06,289092080.80,-0.004914,103.2800,-0.008893
JNJ,2834,2015-01-07,295474051.60,0.022076,105.5600,0.011630
JNJ,2834,2015-01-08,297797312.90,0.007863,106.3900,0.017888
JNJ,2834,2015-01-09,293738603.40,-0.013629,104.9400,-0.008404
JNJ,2834,2015-01-12,292730923.80,-0.003431,104.5800,-0.008094
JNJ,2834,2015-01-13,293234763.60,0.001721,104.7600,-0.002579
JNJ,2834,2015-01-14,291107440.00,-0.007255,104.0000,-0.005813
JNJ,2834,2015-01-15,286880783.90,-0.014519,102.4900,-0.009248
JNJ,2834,2015-01-16,291219404.40,0.015123,104.0400,0.013424
JNJ,2834,2015-01-20,283521851.90,-0.026432,101.2900,0.001550
JNJ,2834,2015-01-21,285229309.00,0.006022,101.9000,0.004732
JNJ,2834,2015-01-22,290435653.60,0.018253,103.7600,0.015270
JNJ,2834,2015-01-23,286069042.00,-0.015035,102.2000,-0.005492
JNJ,2834,2015-01-26,286236988.60,0.000587,102.2600,0.002568
JNJ,2834,2015-01-27,285761139.90,-0.001662,102.0900,-0.013388
JNJ,2834,2015-01-28,284053682.80,-0.005975,101.4800,-0.013496
JNJ,2834,2015-01-29,286572881.80,0.008869,102.3800,0.009535
JNJ,2834,2015-01-30,280302875.40,-0.021879,100.1400,-0.012992
JNJ,2834,2015-02-02,282234261.30,0.006890,100.8300,0.012962
JNJ,2834,2015-02-03,286796810.60,0.016166,102.4600,0.014439
JNJ,2834,2015-02-04,283717789.60,-0.010736,101.3600,-0.004156
JNJ,2834,2015-02-05,286796810.60,0.010852,102.4600,0.010291
JNJ,2834,2015-02-06,282990021.00,-0.013273,101.1000,-0.003418
JNJ,2834,2015-02-09,279295195.80,-0.013056,99.7800,-0.004247
JNJ,2834,2015-02-10,280890688.50,0.005713,100.3500,0.010676
JNJ,2834,2015-02-11,280974661.80,0.000299,100.3800,-0.000029
JNJ,2834,2015-02-12,275544388.40,-0.019327,98.4400,0.009645
JNJ,2834,2015-02-13,278847338.20,0.011987,99.6200,0.004075
JNJ,2834,2015-02-17,281142608.40,0.008231,100.4400,0.001598
JNJ,2834,2015-02-18,279799035.60,-0.004779,99.9600,-0.000314
JNJ,2834,2015-02-19,281870377.00,0.007403,100.7000,-0.001062
JNJ,2834,2015-02-20,280638768.60,0.002582,100.2600,0.006126
JNJ,2834,2015-02-23,280414839.80,-0.000798,100.1800,-0.000303
JNJ,2834,2015-02-24,281870377.00,0.005191,100.7000,0.002759
JNJ,2834,2015-02-25,283297923.10,0.005065,101.2100,-0.000766
JNJ,2834,2015-02-26,287748508.00,0.015710,102.8000,-0.001476
JNJ,2834,2015-02-27,285027927.39,-0.002821,102.5100,-0.002956
JNJ,2834,2015-03-02,287002074.58,0.006926,103.2200,0.006125
JNJ,2834,2015-03-03,284555244.26,-0.008525,102.3400,-0.004539
JNJ,2834,2015-03-04,282636706.85,-0.006742,101.6500,-0.004389
JNJ,2834,2015-03-05,285055732.28,0.008559,102.5200,0.001196
JNJ,2834,2015-03-06,278354753.79,-0.023508,100.1100,-0.014174
JNJ,2834,2015-03-09,279884022.74,0.005494,100.6600,0.003944
JNJ,2834,2015-03-10,276742070.17,-0.011226,99.5300,-0.016961
JNJ,2834,2015-03-11,273377678.48,-0.012157,98.3200,-0.001918
JNJ,2834,2015-03-12,277576216.87,0.015358,99.8300,0.012601
JNJ,2834,2015-03-13,275852313.69,-0.006211,99.2100,-0.006075
